Neurog3>0_raw,Neurog3>0_scaled,cell,cell_ontology_class,cell_ontology_id,cluster.ids,free_annotation,mouse.id,mouse.sex,plate.barcode,subsetA,subsetA_cluster.ids,subsetB,subsetB_cluster.ids,subsetC,subsetC_cluster.ids,subsetD,subsetD_cluster.ids,subsetE,subsetE_cluster.ids,subtissue,tissue,tissue_tSNE_1,tissue_tSNE_2
,,A1.B000610.3_56_F.1.1,bladder cell,CL:1001319,5,Bladder mesenchymal cell,3_56_F,F,B000610,,,,,,,,,,,,Bladder,-7.182841184579988,-10.895094373557567
,,A1.B002764.3_38_F.1.1,bladder urothelial cell,CL:1001428,3,Luminal bladder epithelial cell,3_38_F,F,B002764,,,,,,,,,,,,Bladder,4.199059248070402,-11.050239873102482
,,A1.B002771.3_39_F.1.1,bladder cell,CL:1001319,5,Bladder mesenchymal cell,3_39_F,F,B002771,,,,,,,,,,,,Bladder,-11.995435065265601,-7.325533500442496
,,A1.D041914.3_8_M.1.1,bladder cell,CL:1001319,5,Bladder mesenchymal cell,3_8_M,M,D041914,,,,,,,,,,,,Bladder,-6.820021685160303,-14.174246453557148
,,A1.D042253.3_9_M.1.1,bladder cell,CL:1001319,2,Bladder mesenchymal cell,3_9_M,M,D042253,,,,,,,,,,,,Bladder,-24.163537898804,-7.499349241905651
,,A1.MAA000487.3_10_M.1.1,bladder cell,CL:1001319,0,Bladder mesenchymal cell,3_10_M,M,MAA000487,,,,,,,,,,,,Bladder,-10.564132232947939,-28.41383760029962
,,A10.B000610.3_56_F.1.1,bladder urothelial cell,CL:1001428,3,Luminal bladder epithelial cell,3_56_F,F,B000610,,,,,,,,,,,,Bladder,7.24734785891324,24.410545171103806
,,A10.B002764.3_38_F.1.1,bladder urothelial cell,CL:1001428,3,Luminal bladder epithelial cell,3_38_F,F,B002764,,,,,,,,,,,,Bladder,7.078957858518312,28.029741963945913
,,A10.B002771.3_39_F.1.1,bladder urothelial cell,CL:1001428,3,Luminal bladder epithelial cell,3_39_F,F,B002771,,,,,,,,,,,,Bladder,6.454958061951678,27.734779354355325
,,A10.D041914.3_8_M.1.1,bladder cell,CL:1001319,2,Bladder mesenchymal cell,3_8_M,M,D041914,,,,,,,,,,,,Bladder,-16.643702594008705,-2.4341146931939344
,,A10.D042253.3_9_M.1.1,bladder cell,CL:1001319,0,Bladder mesenchymal cell,3_9_M,M,D042253,,,,,,,,,,,,Bladder,-4.76040692581426,-31.923819760877045
,,A10.MAA000487.3_10_M.1.1,bladder urothelial cell,CL:1001428,1,Luminal bladder epithelial cell,3_10_M,M,MAA000487,,,,,,,,,,,,Bladder,7.1025571777448535,9.606096773115548
,,A11.B000610.3_56_F.1.1,bladder urothelial cell,CL:1001428,3,Luminal bladder epithelial cell,3_56_F,F,B000610,,,,,,,,,,,,Bladder,-2.4677015672834712,21.270587694281843
,,A11.B002771.3_39_F.1.1,bladder urothelial cell,CL:1001428,3,Luminal bladder epithelial cell,3_39_F,F,B002771,,,,,,,,,,,,Bladder,4.890975028790254,31.84838684943605
,,A11.D041914.3_8_M.1.1,bladder cell,CL:1001319,0,Bladder mesenchymal cell,3_8_M,M,D041914,,,,,,,,,,,,Bladder,-8.102068111824147,-17.873610292050493
,,A11.D042253.3_9_M.1.1,bladder cell,CL:1001319,0,Bladder mesenchymal cell,3_9_M,M,D042253,,,,,,,,,,,,Bladder,1.0491219718600846,-32.968143865840034
,,A11.MAA000487.3_10_M.1.1,bladder urothelial cell,CL:1001428,1,Luminal bladder epithelial cell,3_10_M,M,MAA000487,,,,,,,,,,,,Bladder,23.460801920353564,-0.2868530090782121
,,A12.B000610.3_56_F.1.1,bladder urothelial cell,CL:1001428,3,Luminal bladder epithelial cell,3_56_F,F,B000610,,,,,,,,,,,,Bladder,1.9998071991684567,22.68488931166225
,,A12.D041914.3_8_M.1.1,bladder cell,CL:1001319,2,Bladder mesenchymal cell,3_8_M,M,D041914,,,,,,,,,,,,Bladder,-21.307140410520123,2.6332077578315483
,,A12.D042253.3_9_M.1.1,bladder cell,CL:1001319,2,Bladder mesenchymal cell,3_9_M,M,D042253,,,,,,,,,,,,Bladder,-28.734818480390995,-3.549249514697783
,,A12.MAA000487.3_10_M.1.1,bladder urothelial cell,CL:1001428,1,Luminal bladder epithelial cell,3_10_M,M,MAA000487,,,,,,,,,,,,Bladder,20.426056320174503,1.7544385872217303
,,A13.B000610.3_56_F.1.1,bladder cell,CL:1001319,5,Bladder mesenchymal cell,3_56_F,F,B000610,,,,,,,,,,,,Bladder,-8.355098386331973,-11.955967323257106
,,A13.B002764.3_38_F.1.1,bladder urothelial cell,CL:1001428,3,Luminal bladder epithelial cell,3_38_F,F,B002764,,,,,,,,,,,,Bladder,7.48309984844393,27.16725930174388
,,A13.B002771.3_39_F.1.1,bladder urothelial cell,CL:1001428,3,Luminal bladder epithelial cell,3_39_F,F,B002771,,,,,,,,,,,,Bladder,6.743553531395588,28.15608929366013
,,A13.D041914.3_8_M.1.1,bladder cell,CL:1001319,0,Bladder mesenchymal cell,3_8_M,M,D041914,,,,,,,,,,,,Bladder,5.418347019999609,-26.09998523745638
,,A13.D042253.3_9_M.1.1,bladder cell,CL:1001319,2,Bladder mesenchymal cell,3_9_M,M,D042253,,,,,,,,,,,,Bladder,-24.834421707235762,-8.789409210123987
,,A13.MAA000487.3_10_M.1.1,bladder urothelial cell,CL:1001428,1,Luminal bladder epithelial cell,3_10_M,M,MAA000487,,,,,,,,,,,,Bladder,12.130490258905384,5.609320938886515
,,A14.B000610.3_56_F.1.1,bladder cell,CL:1001319,0,Bladder mesenchymal cell,3_56_F,F,B000610,,,,,,,,,,,,Bladder,5.612217613413378,-16.396324748951482
,,A14.B002771.3_39_F.1.1,bladder urothelial cell,CL:1001428,4,Luminal bladder epithelial cell,3_39_F,F,B002771,,,,,,,,,,,,Bladder,22.84937957666507,20.70698209575506
,,A14.D041914.3_8_M.1.1,bladder cell,CL:1001319,0,Bladder mesenchymal cell,3_8_M,M,D041914,,,,,,,,,,,,Bladder,6.519418530014852,-26.10050327420403
,,A14.D042253.3_9_M.1.1,bladder cell,CL:1001319,2,Bladder mesenchymal cell,3_9_M,M,D042253,,,,,,,,,,,,Bladder,-24.24453686855513,-7.177230798382236
,,A14.MAA000487.3_10_M.1.1,bladder urothelial cell,CL:1001428,1,Luminal bladder epithelial cell,3_10_M,M,MAA000487,,,,,,,,,,,,Bladder,5.6980896182565575,8.262338208529018
,,A15.B002771.3_39_F.1.1,bladder urothelial cell,CL:1001428,3,Luminal bladder epithelial cell,3_39_F,F,B002771,,,,,,,,,,,,Bladder,0.3426141624226434,21.435534193286774
