prolific_id,user_id,gender,education,age_range,pca,nldr,time_completed
5fb57363656d5607d4a94149,551131897,she/her,Completed some undergraduate courses,25 - 34,No,No,2025-03-13 17:04:25
6531298ad57d084e7803dda3,551131897,he/him,Completed some undergraduate courses,18 - 24,No,No,2025-03-13 17:05:46
660d5adf38421228f7cca250,551131897,she/her,Undergraduate degree (A bachelor),18 - 24,No,No,2025-03-13 17:32:21
608ff115af65ba6692f46ef6,551131897,she/her,Undergraduate degree (A bachelor),35 - 44,No,No,2025-03-13 17:33:34
671d2b67cf2c6c3975a6d008,551131897,she/her,Undergraduate degree (A bachelor),25 - 34,Yes,Yes,2025-03-13 17:41:59
60dc31374fc70253e7a2d9e9,551131897,he/him,Completed some undergraduate courses,45 - 54,No,No,2025-03-13 17:44:02
5ff81ab8d6f3fa546efbad4e,438371205,she/her,Undergraduate degree (A bachelor),25 - 34,No,No,2025-03-13 17:47:15
64a80dd34fd0539ee3761e6a,551131897,she/her,Higher degree master or doctorate,Over 55,No,No,2025-03-13 18:07:06
66ab4b1c39f78f46f85d5fc8,621681616,he/him,Undergraduate degree (A bachelor),18 - 24,No,No,2025-03-13 18:07:25
615a2a654f4be71b8bfa94c8,621681616,she/her,Higher degree master or doctorate,25 - 34,No,No,2025-03-13 18:14:41
6531095c8da8ca2ccf8f8a9f,551131897,she/her,Completed some undergraduate courses,18 - 24,No,No,2025-03-13 18:16:31
6771461b905db4b6f98e8658,275758982,he/him,Higher degree master or doctorate,25 - 34,Yes,Yes,2025-03-13 18:17:59
615da6ef136d2d771b3efee0,621681616,she/her,Undergraduate degree (A bachelor),35 - 44,Yes,Yes,2025-03-13 18:23:28
5be064114c6bd000013368f3,687146659,she/her,Completed some undergraduate courses,Over 55,No,No,2025-03-13 18:25:27
6153919119482e20f2f8eea5,962269503,she/her,Undergraduate degree (A bachelor),35 - 44,No,No,2025-03-13 18:31:00
672b09016873ae65e93e6072,306560659,she/her,Higher degree master or doctorate,35 - 44,No,No,2025-03-13 18:52:55
677d7063c95de24c4cfb6b1e,275758982,she/her,Undergraduate degree (A bachelor),18 - 24,Yes,Yes,2025-03-13 18:56:02
60a54bce58932d1b4db91de3,551131897,he/him,Completed some undergraduate courses,25 - 34,No,No,2025-03-14 09:04:38
5fc7aa4fd06520000955403f,306560659,he/him,Completed some undergraduate courses,25 - 34,No,No,2025-03-14 09:06:16
6776943837d9bca3085415d9,551131897,he/him,Higher degree master or doctorate,25 - 34,No,No,2025-03-14 09:11:27
5c6d1972349b1f000104f83e,551131897,he/him,Undergraduate degree (A bachelor),25 - 34,No,No,2025-03-14 09:34:36
663b46bf9655b000bf060d50,275758982,she/her,Completed some undergraduate courses,25 - 34,No,Yes,2025-03-14 09:37:12
60267ea2c1e12331ce6a3f21,551131897,he/him,Completed some undergraduate courses,25 - 34,No,No,2025-03-14 09:42:38
5ecfd0b927d04d049d65b73d,275758982,he/him,Higher degree master or doctorate,25 - 34,No,No,2025-03-14 09:45:20
6681419554e17e6ec71a3628,275758982,she/her,Undergraduate degree (A bachelor),18 - 24,Yes,Yes,2025-03-14 09:52:29
604a8a4926724aaed69b940b,551131897,he/him,Undergraduate degree (A bachelor),25 - 34,No,No,2025-03-14 11:35:03
6741c5fefd626cf51bae344b,275758982,he/him,Undergraduate degree (A bachelor),25 - 34,No,No,2025-03-14 11:36:09
6455490f7c5f35e4221a810a,275758982,he/him,Completed some undergraduate courses,25 - 34,No,No,2025-03-14 11:45:35
57ca4b09993b08000192297b,275758982,she/her,Undergraduate degree (A bachelor),25 - 34,No,No,2025-03-14 11:47:34
66d9f452597de008c5448b66,551131897,he/him,Did not complete high school,18 - 24,No,No,2025-03-15 13:04:05
65c946a203b1a88740b02e52,551131897,she/her,Undergraduate degree (A bachelor),35 - 44,Yes,No,2025-03-15 13:28:11
5ba85b3a46de410001ecf951,551131897,he/him,Did not complete high school,35 - 44,No,No,2025-03-15 13:46:37
