Data structure,URL
three_clust_19,"<a href=""https://youtube.com/shorts/fb-gQ064JdI"">youtube.com/shorts/fb-gQ064JdI</a>"
three_clust_20,"<a href=""https://youtube.com/shorts/5Lm03LMiC2s"">youtube.com/shorts/5Lm03LMiC2s</a>"
three_clust_21,"<a href=""https://youtube.com/shorts/BmKzrqTWUbI"">youtube.com/shorts/BmKzrqTWUbI</a>"
three_clust_22,"<a href=""https://youtube.com/shorts/wrn6lj7-RrQ"">youtube.com/shorts/wrn6lj7-RrQ</a>"
three_clust_23,"<a href=""https://youtube.com/shorts/AWgG3tbfYpA"">youtube.com/shorts/AWgG3tbfYpA</a>"
three_clust_24,"<a href=""https://youtube.com/shorts/JR_6QorZjj8"">youtube.com/shorts/JR_6QorZjj8</a>"
three_clust_25,"<a href=""https://youtube.com/shorts/gKEZGGZcE6c"">youtube.com/shorts/gKEZGGZcE6c</a>"
three_clust_26,"<a href=""https://youtube.com/shorts/Ar7OAtuwWsc"">youtube.com/shorts/Ar7OAtuwWsc</a>"
three_clust_27,"<a href=""https://youtube.com/shorts/BXcLP-qqPWo"">youtube.com/shorts/BXcLP-qqPWo</a>"
three_clust_28,"<a href=""https://youtube.com/shorts/e6cP4jC2xGM"">youtube.com/shorts/e6cP4jC2xGM</a>"
