Data structure,Small,Small-medium,Medium,Medium-large,Large
three_clust_01,"<a href=""https://youtu.be/kZyZxujDz58"">youtu.be/kZyZxujDz58</a>","<a href=""https://youtu.be/Jz3k4uIAiRo"">youtu.be/Jz3k4uIAiRo</a>","<a href=""https://youtube.com/shorts/QqMDQxShke0"">youtube.com/shorts/QqMDQxShke0</a>","<a href=""https://youtu.be/E9msE_XX0KA"">youtu.be/E9msE_XX0KA</a>","<a href=""https://youtube.com/shorts/07Ya6SjNDV0"">youtube.com/shorts/07Ya6SjNDV0</a>"
three_clust_02,"<a href=""https://youtu.be/CLMlOU4Fb2w"">youtu.be/CLMlOU4Fb2w</a>","<a href=""https://youtu.be/TFj0satlBBE"">youtu.be/TFj0satlBBE</a>","<a href=""https://youtube.com/shorts/jKarI60euSw"">youtube.com/shorts/jKarI60euSw</a>","<a href=""https://youtu.be/_f2WvtD2xog"">youtu.be/f2WvtD2xog</a>","<a href=""https://youtube.com/shorts/Vk7K5vlXiVM"">youtube.com/shorts/Vk7K5vlXiVM</a>"
three_clust_03,"<a href=""https://youtu.be/K2oKM4mUBXM"">youtu.be/K2oKM4mUBXM</a>","<a href=""https://youtu.be/b-43HKN30ws"">youtu.be/b-43HKN30ws</a>","<a href=""https://youtube.com/shorts/edCnIfgfoU0"">youtube.com/shorts/edCnIfgfoU0</a>","<a href=""https://youtu.be/7NwNcD4qlLc"">youtu.be/7NwNcD4qlLc</a>","<a href=""https://youtube.com/shorts/-aB3PwE676E"">youtube.com/shorts/-aB3PwE676E</a>"
three_clust_04,"<a href=""https://youtu.be/7yvvpPgiWNw"">youtu.be/7yvvpPgiWNw</a>","<a href=""https://youtu.be/1PhZO7cUEaI"">youtu.be/1PhZO7cUEaI</a>","<a href=""https://youtu.be/XO61YVXAdr8"">youtu.be/XO61YVXAdr8</a>","<a href=""https://youtu.be/XO61YVXAdr8"">youtu.be/XO61YVXAdr8</a>","<a href=""https://youtube.com/shorts/7e60CeOM50Q"">youtube.com/shorts/7e60CeOM50Q</a>"
three_clust_05,"<a href=""https://youtu.be/pbI7UXFgc0k"">youtu.be/pbI7UXFgc0k</a>","<a href=""https://youtu.be/G-TvOIBj-14"">youtu.be/G-TvOIBj-14</a>","<a href=""https://youtube.com/shorts/I9xxCinW4Ec"">youtube.com/shorts/I9xxCinW4Ec</a>","<a href=""https://youtu.be/ardE0G7zevk"">youtu.be/ardE0G7zevk</a>","<a href=""https://youtube.com/shorts/21xj8nnnvec"">youtube.com/shorts/21xj8nnnvec</a>"
three_clust_06,"<a href=""https://youtu.be/Mxylk4M67iA"">youtu.be/Mxylk4M67iA</a>","<a href=""https://youtu.be/ABrxozu8F-A"">youtu.be/ABrxozu8F-A</a>","<a href=""https://youtube.com/shorts/FISgM4T2xEI"">youtube.com/shorts/FISgM4T2xEI</a>","<a href=""https://youtu.be/soFQR9UwNsg"">youtu.be/soFQR9UwNsg</a>","<a href=""https://youtube.com/shorts/pX0E8E-Dbxc"">youtube.com/shorts/pX0E8E-Dbxc</a>"
three_clust_07,"<a href=""https://youtu.be/2a89BQGK_iU"">youtu.be/2a89BQGK_iU</a>","<a href=""https://youtu.be/Wt4NwZSACmo"">youtu.be/Wt4NwZSACmo</a>","<a href=""https://youtube.com/shorts/MbGOoTrvVXk"">youtube.com/shorts/MbGOoTrvVXk</a>","<a href=""https://youtu.be/hVwIjSxACoo"">youtu.be/hVwIjSxACoo</a>","<a href=""https://youtube.com/shorts/y0kitUPbAoQ"">youtube.com/shorts/y0kitUPbAoQ</a>"
three_clust_08,"<a href=""https://youtu.be/eID-dwpgU44"">youtu.be/eID-dwpgU44</a>","<a href=""https://youtu.be/ILwnlZUMj_U"">youtu.be/ILwnlZUMj_U</a>","<a href=""https://youtube.com/shorts/6k20OE3Fkcg"">youtube.com/shorts/6k20OE3Fkcg</a>","<a href=""https://youtu.be/oSBaMH9HJZ4"">youtu.be/oSBaMH9HJZ4</a>","<a href=""https://youtube.com/shorts/B4OiM4sfZ4g"">youtube.com/shorts/B4OiM4sfZ4g</a>"
three_clust_09,"<a href=""https://youtu.be/6uGCDUSL60Q"">youtu.be/6uGCDUSL60Q</a>","<a href=""https://youtu.be/RvlSY3drV5I"">youtu.be/RvlSY3drV5I</a>","<a href=""https://youtube.com/shorts/TIyP-a75YmQ"">youtube.com/shorts/TIyP-a75YmQ</a>","<a href=""https://youtu.be/mh_rG2qy2Pc"">youtu.be/mh_rG2qy2Pc</a>","<a href=""https://youtube.com/shorts/hlaX3J8ibsA"">youtube.com/shorts/hlaX3J8ibsA</a>"
three_clust_10,"<a href=""https://youtu.be/CX5O4eNZW5o"">youtu.be/CX5O4eNZW5o</a>","<a href=""https://youtu.be/fHxflXa9i-s"">youtu.be/fHxflXa9i-s</a>","<a href=""https://youtube.com/shorts/hUzYOFS8o4M"">youtube.com/shorts/hUzYOFS8o4M</a>","<a href=""https://youtu.be/R6vD1xJH21w"">youtu.be/R6vD1xJH21w</a>","<a href=""https://youtube.com/shorts/lM2sohLJS2s"">youtube.com/shorts/lM2sohLJS2s</a>"
